0,1,2,3,4,5
8563366,1,0.06332,99.9205,-28.4096,4.70886
8563366,4,0.0183753,99.9205,-28.4093,4.70882
8614972,1,0.06332,98.6417,-62.3659,7.874
8614972,3,0.0174208,98.6416,-62.3661,7.87401
8615460,1,0.010876,99.2284,29.6604,-46.8527
8615460,3,0.0370663,99.228,29.6598,-46.8523
8615862,1,0.001596,99.974,-33.8283,41.3443
8615862,3,0.0402503,99.974,-33.8288,41.3436
8711526,1,0.010876,99.9701,-40.6033,-55.8155
8711526,3,0.0222175,99.9699,-40.6031,-55.8157
8711901,1,0.010876,99.6292,-76.5071,-47.8369
8711901,3,0.082896,99.6288,-76.509,-47.8388
8713441,1,0.010355,99.8379,39.0493,-65.7599
8713441,3,0.0301048,99.8382,39.0493,-65.7604
8813573,1,0.017041,97.5594,-77.6933,48.3457
8813573,4,0.0409201,97.5589,-77.6931,48.345
8814017,1,0.06332,99.8253,25.9081,29.3288
8814017,3,0.0376831,99.8247,25.9085,29.3291
8913142,1,0.06332,99.9016,5.74321,-65.4366
8913142,4,0.0378834,99.9011,5.74268,-65.4369
8967066,1,0.06332,99.9166,-55.3538,59.1225
8967066,4,0.00567336,99.9166,-55.3538,59.1225
8967227,1,0.06332,99.955,76.5839,-30.7053
8967227,3,0.0423438,99.9543,76.5835,-30.7058
9010753,1,0.010355,99.403,48.4781,-71.6022
9010753,3,0.00497764,99.4026,48.4776,-71.6023
9010753,3,0.0227689,99.4024,48.4777,-71.6026
9010753,4,0.00925,99.4163,48.4905,-71.5824
9010753,5,0.000638544,99.4163,48.4905,-71.5824
9056682,1,0.06332,99.9793,70.9509,43.5953
9056682,3,0.00866558,99.9793,70.9508,43.5954
9155871,1,0.002499,99.8607,59.2404,2.44464
9155871,3,0.062478,99.8592,59.2394,2.4445
9205626,1,6.2e-05,99.9986,-48.8462,-69.4753
9205626,3,0.00125818,99.9981,-48.8458,-69.4756
9205626,3,0.00229716,99.998,-48.8449,-69.4759
9205626,3,0.00536085,99.9982,-48.844,-69.4765
9205626,3,0.00493539,99.9977,-48.8438,-69.4767
9205626,3,0.0253693,99.9974,-48.8436,-69.4768
9205626,4,0.000514,99.979,-48.8333,-69.485
9205626,5,0.00748565,99.979,-48.8334,-69.4851
9207065,1,0.00925,99.9647,-14.5894,4.09042
9207065,3,0.038683,99.9646,-14.5899,4.08983
9207572,1,0.010876,99.2223,17.9737,-64.8086
9207572,3,0.0344019,99.222,17.9734,-64.8091
9306188,1,0.010876,99.9652,53.8598,-4.13505
9306188,3,0.0659498,99.9632,53.8632,-4.13516
